,water_year,mav
0,1995,178.90424285714286
1,1996,284.2048571428551
2,1997,257.1754999999979
3,1998,210.38032857142647
4,1999,296.962657142855
5,2000,307.8444857142836
6,2001,187.8835428571413
7,2002,188.93512857142701
8,2003,190.52719999999795
9,2004,281.44499999999795
10,2005,270.42577142856936
11,2006,265.5617857142857
12,2007,171.38448571428572
13,2008,212.1442142857143
14,2009,196.25801428571376
