water_year,Calpella,Guerneville,Hopland,Warm Springs
1995,0.31831674834287205,0.8729555317271306,0.8200513833777475,0.2269309958493263
1996,0.8684362428647702,0.14599790944669588,0.17312308246027308,0.03503397764734484
1997,0.1295861865216601,0.30216479622103387,0.2156243723344955,0.20277278130496867
1998,0.8623110804225718,0.6745665516764945,0.8146432556060421,0.26442509514993795
1999,0.06397447965343595,0.09667834392301411,0.054100581024175365,0.14059564478210862
2000,0.5875721583974447,0.06570641613021722,0.1534729783866996,0.3161693251976959
2001,0.6795543102609385,0.8266789439647177,0.673028819348843,0.7722048819353848
2002,0.3105200626138229,0.8206755121912577,0.7912268419802032,0.8679841019465322
2003,0.5846236311518642,0.8113586761499152,0.8878900562614519,0.8960871754691837
2004,0.1692120628176712,0.1586915683402943,0.09041896195447519,0.6686241780033076
2005,0.18056971168562463,0.21684763129164308,0.2773945080657825,0.6192514470448189
2006,0.17566050586098836,0.24629121909281204,0.28169285107456943,0.5396112382364897
2007,0.922167092056337,0.9048045926452611,0.8281190629831925,0.1983278947815228
2008,0.6531018899030003,0.6608865909174148,0.7502946887852902,0.8061523985250602
2009,0.9364638138704933,0.7756166492888414,0.8139333325475053,0.9438223973721742
