water_year,Calpella,Guerneville,Hopland,Warm Springs
1995,0.957493203870397,0.9338284574457204,0.9291900105867745,0.9318715270516126
1996,0.5291413148200206,0.31401459358101286,0.4368518452165757,0.249129130031174
1997,0.8501674031178337,0.8840728466688007,0.794696764313743,0.7752166444723853
1998,0.6950428133356201,0.7847771575197598,0.7580419749374522,0.818954422624559
1999,0.4523573138680422,0.404253831717503,0.5111445873272228,0.3390902814814058
2000,0.24464988261279993,0.3436574511374515,0.3708518361958243,0.19076897270611745
2001,0.09593630734731606,0.06446197429992344,0.04480289728443364,0.07134087456350954
2002,0.5123125237387683,0.21624124370764508,0.3368790536951476,0.21942847987601802
2003,0.7764022144385111,0.8389250055362428,0.8049271204065932,0.9223910534427867
2004,0.5434724848785467,0.6218350453070637,0.6359678082544261,0.6073953765479335
2005,0.20281609430346545,0.23622075256126782,0.17155501559562591,0.203072973340296
2006,0.9431615884527262,0.9365348520762511,0.9600814538906257,0.9007526497370937
2007,0.18125014705188966,0.12849524540027293,0.2781122419905151,0.13404216419236856
2008,0.38174659640234127,0.47352514803181966,0.3805662170391439,0.6731342317360809
2009,0.05554983458731647,0.18632944903016052,0.06971273011080188,0.35403747047009226
